Source,Target,Weight,Type
ZNF440,leukocyte count,0.5200632957394395,Undirected
ZNF440,neutrophil count,0.5161419350716105,Undirected
ZNF425,neutrophil percentage of leukocytes,0.5217015585314272,Undirected
ZNF425,neutrophil count,0.5790712052246997,Undirected
ZNF101,neutrophil count,0.5672787073606584,Undirected
ZNF12,hemoglobin measurement,0.5590883515157673,Undirected
ZNF12,hematocrit,0.5674560580286138,Undirected
ZNF12,IGF-1 measurement,0.9418507149013784,Undirected
ZNF713,leukocyte count,0.5122169620625174,Undirected
ZNF627,genetic disorder,0.7683567498489113,Undirected
ZNF627,Spondyloenchondrodysplasia with immune dysregulation,0.9346242097729524,Undirected
ZNF699,DEGCAGS syndrome,0.8383533037032608,Undirected
ZNF699,complex neurodevelopmental disorder,0.607930797611621,Undirected
ZNF680,vitamin D measurement,0.6973254160106688,Undirected
ZNF573,sex hormone-binding globulin measurement,0.581713481823822,Undirected
ZFP30,FEV/FVC ratio,0.5442207320779499,Undirected
ZNF436,creatinine measurement,0.6155977083681784,Undirected
ZNF436,glomerular filtration rate,0.6795222949320683,Undirected
ZNF641,glomerular filtration rate,0.5848338857537065,Undirected
ZNF799,testosterone measurement,0.5438958501175545,Undirected
ZNF799,monocyte count,0.5466246630584579,Undirected
ZNF799,type 2 diabetes mellitus,0.6082028502117683,Undirected
ZNF799,sex hormone-binding globulin measurement,0.6223178265707974,Undirected
ZNF799,body height,0.5585553279717667,Undirected
ZNF429,thyroid disease,0.5356927571505408,Undirected
ZNF429,endocrine system disease,0.5442202383773491,Undirected
ZNF429,diabetes mellitus,0.5442202383773491,Undirected
ZNF429,erythrocyte count,0.6637799689326127,Undirected
ZNF429,mean corpuscular volume,0.6319039190329798,Undirected
ZNF563,bilirubin measurement,0.6648265317474964,Undirected
ZNF519,protein measurement,0.5044530099585028,Undirected
ZNF273,triglyceride measurement,0.5314202837936081,Undirected
ZNF273,sleep duration,0.5314202837936081,Undirected
ZNF596,Kallmann syndrome,0.547137717850459,Undirected
ZNF596,hypogonadotropic hypogonadism 5 with or without anosmia,0.547137717850459,Undirected
ZNF596,breast carcinoma,0.5837821835969309,Undirected
PRDM9,recombination rate,0.6504826064054369,Undirected
PRDM9,recombination measurement,0.5808060442732288,Undirected
PRDM9,genetic non-acquired premature ovarian failure,0.7612644543425522,Undirected
ZNF211,Red cell distribution width,0.5845981203027387,Undirected
ZNF81,X-linked non-syndromic intellectual disability,0.607930797611621,Undirected
ZNF141,postaxial polydactyly type A,0.607930797611621,Undirected
ZNF141,"polydactyly, postaxial, type A6",0.607930797611621,Undirected
ZNF275,benign neoplasm of adrenal gland,0.5177916777070837,Undirected
ZKSCAN8,type 1 diabetes mellitus,0.5274441301771771,Undirected
ZNF496,monocyte percentage of leukocytes,0.5243831807208913,Undirected
ZKSCAN2,smoking status measurement,0.6087994058186484,Undirected
ZNF483,apolipoprotein A 1 measurement,0.5277684362275821,Undirected
ZNF483,age at menarche,0.7734781476577527,Undirected
ZNF483,puberty onset measurement,0.6796221550972197,Undirected
ZNF483,protein measurement,0.5116841864133943,Undirected
ZNF483,body height,0.6917812529225227,Undirected
ZKSCAN1,FEV/FVC ratio,0.5164498584676225,Undirected
ZNF446,Short stature,0.6129968875917179,Undirected
ZNF777,diastolic blood pressure,0.6612693589058879,Undirected
ZNF777,mean corpuscular hemoglobin,0.6308817106110207,Undirected
ZNF777,mean corpuscular hemoglobin concentration,0.5388125294721147,Undirected
ZNF777,mean corpuscular volume,0.6957745286090158,Undirected
ZNF746,reticulocyte count,0.5360703944454777,Undirected
ZNF282,eosinophil count,0.6418488747142406,Undirected
ZNF783,heel bone mineral density,0.5725430550273909,Undirected
ZNF398,neutrophil percentage of leukocytes,0.5693716466681297,Undirected
ZNF398,leukocyte count,0.589203443252625,Undirected
ZNF398,myeloid white cell count,0.5634334958376737,Undirected
ZNF398,neutrophil count,0.6703367769979613,Undirected
ZNF398,eosinophil count,0.6861686447323058,Undirected
